負,"defeat, negative, -, minus, bear, owe, assume a responsibility"
首,"neck, counter for songs and poems"
直,"straightaway, honesty, frankness, fix, repair"
具,"tool, utensil, means, possess, ingredients, counter for armor, suits, sets of furniture"
頂,"place on the head, receive, top of head, top, summit, peak"
好,"fond, pleasing, like something"
石,stone
光,"ray, light"
太,"plump, thick, big around"
原,"meadow, original, primitive, field, plain, prairie, tundra, wilderness"
願,"petition, request, vow, wish, hope"
活,"lively, resuscitation, being helped, living"
消,"extinguish, blow out, turn off, neutralize, cancel"
点,"spot, point, mark, speck, decimal point"
向,"yonder, facing, beyond, confront, defy, tend toward, approach"
守,"guard, protect, defend, obey"
完,"perfect, completion, end"
寄,"draw near, stop in, bring near, gather, collect, send, forward"
富,"wealth, enrich, abundant"
相,"inter-, mutual, together, each other, minister of state, councillor, aspect, phase, physiognomy"
未,"un-, not yet, hitherto, still, even now, sign of the ram, 1-3PM, eighth sign of Chinese zodiac"
末,"end, close, tip, powder, posterity"
若,"young, if, perhaps, possibly, low number, immature"
草,"grass, weeds, herbs, pasture, write, draft"
苦,"suffering, trial, worry, hardship, feel bitter, scowl"
葉,"leaf, plane, lobe, needle, blade, spear, counter for flat things, fragment, piece"
暮,"evening, twilight, season's end, livelihood, make a living, spend time"
状,"current situation, conditions, circumstances, form, appearance"
然,"sort of thing, so, if so, in that case, well"
告,"revelation, tell, inform, announce"
洗,"wash, inquire into, probe"
合,"fit, suit, join, 0.1"
王,"king, rule, magnate"
現,"present, existing, actual"
全,"whole, entire, all, complete, fulfill"
逃,"escape, flee, shirk, evade, set free"
連,"take along, lead, join, connect, party, gang, clique"
格,"status, rank, capacity, character, case (law, grammar)"
客,"guest, visitor, customer, client"
処,"dispose, manage, deal with, sentence, condemn, act, behave, place"
落,"fall, drop, come down, village, hamlet"
夢,"dream, vision, illusion"
景,"scenery, view"
覚,"memorize, learn, remember, awake, sober up"
敗,"failure, defeat, reversal"
警,"admonish, commandment"
調,"tune, tone, meter, key (music), writing style, prepare, exorcise, investigate, harmonize, mediate"
談,"discuss, talk"
式,"style, ceremony, rite, function, method, system, form, expression"
成,"turn into, become, get, grow, elapse, reach"
政,"politics, government"
定,"determine, fix, establish, decide"
越,"surpass, cross over, move to, exceed, Vietnam"
初,"first time, beginning"
市,"market, city, town"
制,"system, law, rule"
商,"make a deal, selling, dealing in, merchant"
適,"suitable, occasional, rare, qualified, capable"
背,"stature, height, back, behind, disobey, defy, go back on, rebel"
皆,"all, everything"
腹,"abdomen, belly, stomach"
欠,"lack, gap, fail, yawning radical (no. 76)"
吹,"blow, breathe, puff, emit, smoke"
次,"next, order, sequence"
資,"assets, resources, capital, funds, data, be conducive to, contribute to"
暗,"darkness, disappear, shade, informal, grow dark, be blinded"
識,"discriminating, know, write"
亡,"deceased, the late, dying, perish"
望,"ambition, full moon, hope, desire, aspire to, expect"
訪,"call on, visit, look up, offer sympathy"
放,"set free, release, fire, shoot, emit, banish, liberate"
説,"opinion, theory, explanation, rumor"
