口,mouth
田,"rice field, rice paddy"
目,"eye, class, look, insight, experience, care, favor"
古,old
明,"bright, light"
品,"goods, refinement, dignity, article, counter for meal courses"
早,"early, fast"
世,"generation, world, society, public"
自,oneself
朝,"morning, dynasty, regime, epoch, period, (North) Korea"
員,"employee, member, number, the one in charge"
元,"beginning, former time, origin"
真,"true, reality, Buddhist sect"
工,"craft, construction, katakana e radical (no. 48)"
有,"possess, have, exist, happen, occur, approx"
切,"cut, cutoff, be sharp"
別,"separate, branch off, diverge, fork, another, extra, specially"
町,"town, village, block, street"
兄,"elder brother, big brother"
少,"few, little"
多,"many, frequent, much"
夕,evening
同,"same, agree, equal"
字,"character, letter, word, section of village"
安,"relax, cheap, low, quiet, rested, contented, peaceful"
味,"flavor, taste"
妹,younger sister
犬,dog
牛,cow
特,special
界,"world, boundary"
茶,tea
理,"logic, arrangement, reason, justice, truth"
主,"lord, chief, master, main thing, principal"
注,"pour, irrigate, shed (tears), flow into, concentrate on, notes, comment, annotate"
夏,summer
運,"carry, luck, destiny, fate, lot, transport, progress, advance"
京,"capital, 10**16"
売,sell
言,"say, word"
計,"plot, plan, scheme, measure"
試,"test, try, attempt, experiment, ordeal"
止,"stop, halt"
歩,"walk, counter for steps"
正,"correct, justice, righteous, 10**40"
走,run
建,build
姉,elder sister
転,"revolve, turn around, change"
冬,winter
立,"stand up, rise, set up, erect"
海,"sea, ocean"
歌,"song, sing"
方,"direction, person, alternative"
地,"ground, earth"
起,"rouse, wake up, get up"
家,"house, home, family, professional, expert, performer"
場,"location, place"
洋,"ocean, sea, foreign, Western style"
着,"don, arrive, wear, counter for suits of clothing"
集,"gather, meet, congregate, swarm, flock"
習,learn
曜,weekday
店,"store, shop"
心,"heart, mind, spirit, heart radical (no. 61)"
思,think
意,"idea, mind, heart, taste, thought, desire, care, liking"
手,hand
持,"hold, have"
研,"polish, study of, sharpen"
広,"wide, broad, spacious"
台,"pedestal, a stand, counter for machines and vehicles"
始,"commence, begin"
去,"gone, past, quit, leave, elapse, eliminate, divorce"
会,"meeting, meet, party, association, interview, join"
室,"room, apartment, chamber, greenhouse, cellar"
公,"public, prince, official, governmental"
堂,"public chamber, hall"
死,"death, die"
買,buy
力,"power, strength, strong, strain, bear up, exert"
待,"wait, depend on"
秋,autumn
私,"private, I, me"
答,"solution, answer"
住,"dwell, reside, live, inhabit"
体,"body, substance, object, reality, counter for images"
仕,"attend, doing, official, serve"
使,"use, send on a mission, order, messenger, envoy, ambassador, cause"
代,"substitute, change, convert, replace, period, age, counter for decades of ages, eras, etc., generation, charge, rate, fee"
花,flower
肉,meat
以,"by means of, because, in view of, compared with"
夜,"night, evening"
旅,"trip, travel"
物,"thing, object, matter"
屋,"roof, house, shop, dealer, seller"
昼,"daytime, noon"
社,"company, firm, office, association, shrine"
近,"near, early, akin, tantamount"
質,"substance, quality, matter, temperament"
作,"make, production, prepare, build"
急,"hurry, emergency, sudden, steep"
事,"matter, thing, fact, business, reason, possibly"
画,"brush-stroke, picture"
料,"fee, materials"
図,"map, drawing, plan, extraordinary, audacious"
用,"utilize, business, service, use, employ"
借,"borrow, rent"
度,"degrees, occurrence, time, counter for occurrences, consider, attitude"
不,"negative, non-, bad, ugly, clumsy"
族,"tribe, family"
知,"know, wisdom"
帰,"homecoming, arrive at, lead to, result in"
強,strong
弟,"younger brother, faithful service to elders"
写,"copy, be photographed, describe"
考,"consider, think over"
教,"teach, faith, doctrine"
者,"someone, person"
足,"leg, foot, be sufficient, counter for pairs of footwear"
空,"empty, sky, void, vacant, vacuum"
究,"research, study"
終,"end, finish"
服,"clothing, admit, obey, discharge"
通,"traffic, pass through, avenue, commute, counter for letters, notes, documents, etc."
新,new
親,"parent, intimacy, relative, familiarity, dealer (cards)"
春,"springtime, spring (season)"
問,"question, ask, problem"
動,"move, motion, change, confusion, shift, shake"
病,"ill, sick"
医,"doctor, medicine"
発,"departure, discharge, publish, emit, start from, disclose, counter for gunshots"
文,"sentence, literature, style, art, decoration, figures, plan, literary radical (no. 67)"
楽,"music, comfort, ease"
英,"England, English, hero, outstanding, calyx"
映,"reflect, reflection, projection"
赤,red
色,color
業,"business, vocation, arts, performance"
悪,"bad, vice, rascal, false, evil, wrong"
紙,paper
勉,"exertion, endeavour, encourage, strive, make effort, diligent"
験,"verification, effect, testing"
送,"escort, send"
其,that
黒,black
鳥,"bird, chicken"
魚,fish
駅,station
館,"building, mansion, large building, palace"
飲,"drink, smoke, take"
飯,"meal, boiled rice"
風,"wind, air, style, manner"
題,"topic, subject"
音,"sound, noise"
青,"blue, green"
院,"Inst., institution, temple, mansion, school"
開,"open, unfold, unseal"
銀,silver
野,"plains, field, rustic, civilian life"
重,"heavy, important, esteem, respect, heap up, pile up, nest of boxes, -fold"
道,"road-way, street, district, journey, course, moral, teachings"
週,week
貸,lend
漢,"Sino-, China"
